Literal Lemma,MariT sense,IWN sense,Gloss S. (WM),Total S.,T. Relation S.,Mariterm ID,ItalWN ID,Mariterm Gloss,ItalWN Gloss,MariTerm Relations,ItalWN Relations,bonus,malus,missing_relations,no_gloss_relations,bonus_relations
abbeverare,1,1,0.050401258967805646,0.050401258967805646,0,V#2691,V#34987,colmare d acqua un imbarcazione tirata in secco per far gonfiare il legname della chiglia cosicché collimi,fare bere  dissetare gli animali  il bestiame,[],"[""xpos_near_synonym, abbeverata, l'atto e il luogo in cui si abbeverano gli animali. (Score: 0.00)"", 'has_hyperonym, fare, causare un cambiamento in un processo o uno stato (seguito da un infinito). (Score: 0.00)']",0,0,[],[],[]
abboccare,1,1,0.05699752852140606,-0.27300247147859397,0,V#2692,V#39005,detto di un imbarcazione a vela  navigare inclinata su un fianco con il bordo a pelo dell acqua,prendere l esca con la bocca,"[""has_hyperonym, navigare, effettuare un percorso  un viaggio per mare  su un corso o uno specchio d'acqua  es.: una nave che naviga per il Mediterraneo  navigare sul Nilo  (Score: 0.00)""]","['has_hyperonym, pigliare, afferrare. (Score: 0.00)']",0,-0.33,['navigare'],[],[]
abbordare,1,2,0.06437099366532754,-0.5956290063346724,0.0,V#338,V#38029,investire bordo contro bordo  di punta  per fianco,avvicinarsi a qualcuno con l intento di attaccare discorso,"['xpos_near_synonym, abbordaggio, urto volontario o collisione accidentale tra imbarcazioni (Score: [0.00] * [0.50] = 0.00)', 'has_hyperonym, muoversi, muoversi  cambiare la posizione in uno spazio. (Score: 0.00)', 'has_hyponym, collidere, urtare fortuitamente. (Score: 0.00)', 'has_hyponym, investire, urtare volontariamente. (Score: 0.00)']","[""xpos_near_synonym, abbordaggio, l'avvicinare  il fermare qualcuno  specialmente una donna  in modo deciso o importuno. (Score: [0.00] * [0.50] = 0.00)"", 'has_hyperonym, avvicinarsi, andare vicino o più vicino. (Score: 0.00)', ""has_hyperonym, appropinquare, mettere una cosa vicino o più vicino ad un'altra. (Score: 0.00)""]",0.33,-0.99,"['muoversi', 'collidere', 'investire']",[],['abbordaggio']
Abenra,1,1,0.0,0.0,0,NP#948,NP#47544,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Aberdeen,1,1,0.0,0.0,0,NP#949,NP#46137,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
abete,1,2,0.08176804146599938,-0.24823195853400065,0,N#1819,N#51102,legno particolarmente usato per le alberature delle barche a vela,il legno di tali piante,"['has_hyperonym, legno, termine generico per indicare il legname nelle sue diverse forme  molto usato per la costruzione del fasciame di scafi di piccole dimensioni  e per gli arredi. (Score: 0.00)']","['has_hyperonym, legname, il materiale (Score: 0.00)']",0,-0.33,['legno'],[],[]
accessorio,1,2,0.0,-0.99,0,N#951,N#6329,parte di ricambio o di complemento ad attrezzature o impianti,scarpe  borse  gioielli e simili,"['has_hyperonym, parte, ciascuno degli elementi o delle parti in cui è diviso un tutto. (Score: 0.00)', 'has_hyponym, accessorio del motore, No Gloss (Score: 0.00)', 'has_hyponym, accessorio di coperta, No Gloss (Score: 0.00)']","['has_hyperonym, prodotto, tutto ciò che gli uomini producono (Score: 0.00)']",0,-0.99,"['parte', 'accessorio del motore', 'accessorio di coperta']",[],[]
accostare,1,2,0.0,-0.66,0,V#332,V#33819,cambiare la prua dell imbarcazione  manovrando il timone  verso destra o sinistra,far mutare di direzione alla prora di una nave,"['xpos_near_synonym, accostata, spostamento della prua per effetto del timone (Score: 0.00)', 'has_hyperonym, manovrare, fare manovra  dirigere o modificare il movimento di una nave o di una imbarcazione. (Score: 0.00)']","['has_hyperonym, variare, sottoporre a cambiamento. (Score: 0.00)']",0,-0.66,"['accostata', 'manovrare']",[],[]
Aden,1,1,0.0,0.0,0,NP#950,NP#48199,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
afforcare,1,1,0.08704446792504218,-0.24295553207495785,0,V#334,V#37115,ancorarsi affondando due ancore a prua,ancorare il bastimento dando fondo alle ancore divaricate,"['has_hyperonym, ancorarsi, calare una o più ancore per tenere ferma una imbarcazione (Score: 0.00)']","['has_hyperonym, ancorare, ormeggiare gettando una o più ancore. (Score: 0.00)']",0,-0.33,['ancorarsi'],[],[]
Africa,1,1,0.0,0.0,0,NP#2628,NP#46974,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
